1#央视频道,#genre#
江西教育,rtsp://115.153.245.70/PLTV/88888888/224/3221226942/69552502.smil
南昌新闻综合,rtsp://115.153.254.81/PLTV/88888888/224/3221227078/113409131.smil
南昌都市频道,rtsp://115.153.254.81/PLTV/88888888/224/3221227075/113409249.smil
南昌资讯频道,rtsp://115.153.254.81/PLTV/88888888/224/3221227080/113409255.smil
九江教育,rtsp://115.153.245.70/PLTV/88888888/224/3221225607/iptv7994.smil
九江新闻综合,rtsp://115.153.245.70/PLTV/88888888/224/3221227268/122499157.smil
九江公共,rtsp://115.153.245.70/PLTV/88888888/224/3221227270/122499168.smil
赣州新闻综合,rtsp://115.153.230.145/PLTV/88888888/224/3221227254/121266741.smil
赣州公共,rtsp://115.153.230.145/PLTV/88888888/224/3221227262/121375235.smil
赣州教育,rtsp://115.153.230.145/PLTV/88888888/224/3221227263/121375179.smil


5#特色专题,#genre#
金鹰纪实,rtsp://115.153.245.70/PLTV/88888888/224/3221226823/59781863.smil
先锋乒羽,rtsp://115.153.245.70/PLTV/88888888/224/3221226935/72307307.smil
金鹰卡通,rtsp://115.153.245.70/PLTV/88888888/224/3221226972/80382319.smil
炫动卡通,rtsp://115.153.245.70/PLTV/88888888/224/3221225583/iptv7982.smil
金鹰卡通,rtsp://115.153.245.70/PLTV/88888888/224/3221225585/iptv7983.smil
卡酷卡通,rtsp://115.153.245.70/PLTV/88888888/224/3221225566/iptv101695.smil
嘉佳卡通,rtsp://115.153.245.70/PLTV/88888888/224/3221225588/10000100000000060000000000140157_0.smil
CCTV台球,rtsp://115.153.245.70/PLTV/88888888/224/3221226955/86106661.smil
CCTV精品,rtsp://115.153.245.70/PLTV/88888888/224/3221226957/86128679.smil
欢笑剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221225734/10000100000000060000000000901456_0.smil
都市剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221225738/10000100000000060000000000901499_0.smil
华数精彩影视,rtsp://115.153.245.70/PLTV/88888888/224/3221227052/86502219.smil
CHC高清电影,rtsp://115.153.245.70/PLTV/88888888/224/3221226990/86128784.smil
CHC家庭影院,rtsp://115.153.245.70/PLTV/88888888/224/3221226959/86128800.smil
CHC动作电影,rtsp://115.153.245.70/PLTV/88888888/224/3221226992/86128817.smil
纪实人文,rtsp://115.153.245.70/PLTV/88888888/224/3221225951/10000100000000060000000000905987_0.smil
乐游,rtsp://115.153.245.70/PLTV/88888888/224/3221227041/87703526.smil
法治天地,rtsp://115.153.245.70/PLTV/88888888/224/3221225607/iptv7994.smil
生活时尚,rtsp://115.153.245.70/PLTV/88888888/224/3221225603/iptv7992.smil
金色频道,rtsp://115.153.245.70/PLTV/88888888/224/3221225621/iptv8001.smil
国学,rtsp://115.153.245.70/PLTV/88888888/224/3221226797/59781463.smil
七彩戏剧,rtsp://115.153.245.70/PLTV/88888888/224/3221225568/iptv101727.smil
动漫秀场,rtsp://115.153.245.70/PLTV/88888888/224/3221225613/iptv7997.smil
游戏风云,rtsp://115.153.245.70/PLTV/88888888/224/3221225615/iptv7998.smil
文物宝库,rtsp://115.153.245.70/PLTV/88888888/224/3221226808/59781526.smil
东方财经,rtsp://115.153.245.70/PLTV/88888888/224/3221225609/iptv7995.smil
求索纪录,rtsp://115.153.245.70/PLTV/88888888/224/3221227035/86502224.smil
茶频道,rtsp://115.153.245.70/PLTV/88888888/224/3221226832/59781969.smil
快乐垂钓,rtsp://115.153.245.70/PLTV/88888888/224/3221226834/59781974.smil
靓妆,rtsp://115.153.245.70/PLTV/88888888/224/3221226817/59781891.smil
梨园,rtsp://115.153.245.70/PLTV/88888888/224/3221226822/59781815.smil
武术世界,rtsp://115.153.245.70/PLTV/88888888/224/3221226824/59781846.smil
汽摩,rtsp://115.153.245.70/PLTV/88888888/224/3221226819/59781852.smil
第一剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226961/86128891.smil
风云音乐,rtsp://115.153.245.70/PLTV/88888888/224/3221226994/86128897.smil
风云剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226963/86128874.smil
怀旧剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226996/86128881.smil
世界地理,rtsp://115.153.245.70/PLTV/88888888/224/3221226965/86128966.smil
女性时尚,rtsp://115.153.245.70/PLTV/88888888/224/3221226998/86128978.smil
高尔夫网球,rtsp://115.153.245.70/PLTV/88888888/224/3221226967/86128985.smil
风云足球,rtsp://115.153.245.70/PLTV/88888888/224/3221227000/86128919.smil
电视指南,rtsp://115.153.245.70/PLTV/88888888/224/3221226969/86129034.smil
兵器科技,rtsp://115.153.245.70/PLTV/88888888/224/3221227004/86132185.smil
书画,rtsp://115.153.245.70/PLTV/88888888/224/3221226971/86128924.smil
新动漫,rtsp://115.153.245.70/PLTV/88888888/224/3221226973/86129004.smil
网络棋牌,rtsp://115.153.245.70/PLTV/88888888/224/3221226975/86128930.smil
游戏竞技,rtsp://115.153.245.70/PLTV/88888888/224/3221226979/86152461.smil
环球奇观,rtsp://115.153.245.70/PLTV/88888888/224/3221226977/86128939.smil
中华特产,rtsp://115.153.245.70/PLTV/88888888/224/3221227046/86502168.smil
四海钓鱼,rtsp://115.153.245.70/PLTV/88888888/224/3221227048/86502173.smil
车迷,rtsp://115.153.245.70/PLTV/88888888/224/3221227027/86502211.smil
生态环境,rtsp://115.153.245.70/PLTV/88888888/224/3221227029/86502215.smil
家庭理财,rtsp://115.153.245.70/PLTV/88888888/224/3221227031/86502127.smil
环球旅游,rtsp://115.153.245.70/PLTV/88888888/224/3221227033/86502177.smil
优优宝贝,rtsp://115.153.245.70/PLTV/88888888/224/3221227050/86502131.smil
中国天气,rtsp://115.153.245.70/PLTV/88888888/224/3221227056/89471929.smil
证券服务,rtsp://115.153.245.70/PLTV/88888888/224/3221227043/89471982.smil
电子体育,rtsp://115.153.245.70/PLTV/88888888/224/3221227045/89471920.smil
百姓健康,rtsp://115.153.245.70/PLTV/88888888/224/3221227047/89471925.smil
少儿动画,rtsp://115.153.245.70/PLTV/88888888/224/3221227006/86440922.smil
魅力时尚,rtsp://115.153.245.70/PLTV/88888888/224/3221226981/86440822.smil
热播剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221227008/86440955.smil
经典电影,rtsp://115.153.245.70/PLTV/88888888/224/3221227010/86440860.smil
爱综艺,rtsp://115.153.245.70/PLTV/88888888/224/3221226983/86440966.smil
爱体育,rtsp://115.153.245.70/PLTV/88888888/224/3221227012/86440946.smil
爱电影,rtsp://115.153.245.70/PLTV/88888888/224/3221226985/86441021.smil
爱大剧,rtsp://115.153.245.70/PLTV/88888888/224/3221227014/86441032.smil
收视指南,rtsp://115.153.245.70/PLTV/88888888/224/3221226987/86440886.smil
IPTV谍战剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221227016/86441085.smil
IPTV相声小品,rtsp://115.153.245.70/PLTV/88888888/224/3221226989/86441091.smil
IPTV野外,rtsp://115.153.245.70/PLTV/88888888/224/3221226991/86441042.smil
IPTV法治,rtsp://115.153.245.70/PLTV/88888888/224/3221226993/86440997.smil
城市剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221227018/86441003.smil
军旅剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221226995/86441107.smil
古装剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221227020/86441115.smil
喜剧影院,rtsp://115.153.245.70/PLTV/88888888/224/3221226997/86441126.smil
动作影院,rtsp://115.153.245.70/PLTV/88888888/224/3221226999/86441130.smil
家庭影院,rtsp://115.153.245.70/PLTV/88888888/224/3221227022/86441136.smil
音乐现场,rtsp://115.153.245.70/PLTV/88888888/224/3221227001/86441055.smil
武侠剧场,rtsp://115.153.245.70/PLTV/88888888/224/3221227003/86441017.smil
爱生活,rtsp://115.153.245.70/PLTV/88888888/224/3221227024/86441150.smil
好学生,rtsp://115.153.245.70/PLTV/88888888/224/3221227026/86441141.smil
精选,rtsp://115.153.245.70/PLTV/88888888/224/3221227005/86441212.smil
国学(2),rtsp://115.153.245.70/PLTV/88888888/224/3221227028/86441216.smil
戏曲,rtsp://115.153.245.70/PLTV/88888888/224/3221227030/86441159.smil
早教,rtsp://115.153.245.70/PLTV/88888888/224/3221227007/86441065.smil
动画,rtsp://115.153.245.70/PLTV/88888888/224/3221227009/86502150.smil
鉴赏,rtsp://115.153.245.70/PLTV/88888888/224/3221227011/86502050.smil
墨宝,rtsp://115.153.245.70/PLTV/88888888/224/3221227032/86502054.smil
光影,rtsp://115.153.245.70/PLTV/88888888/224/3221227013/86502094.smil
台球,rtsp://115.153.245.70/PLTV/88888888/224/3221227034/86502060.smil
美人,rtsp://115.153.245.70/PLTV/88888888/224/3221227015/86502099.smil
武术,rtsp://115.153.245.70/PLTV/88888888/224/3221227017/86502065.smil
高网,rtsp://115.153.245.70/PLTV/88888888/224/3221227036/86502103.smil
足球,rtsp://115.153.245.70/PLTV/88888888/224/3221227019/86502107.smil
军事,rtsp://115.153.245.70/PLTV/88888888/224/3221227038/86502156.smil
地理,rtsp://115.153.245.70/PLTV/88888888/224/3221227040/86502111.smil
美妆,rtsp://115.153.245.70/PLTV/88888888/224/3221227021/86502160.smil
解密,rtsp://115.153.245.70/PLTV/88888888/224/3221227023/86502069.smil
星影,rtsp://115.153.245.70/PLTV/88888888/224/3221227042/86502073.smil
爱体育(2),rtsp://115.153.245.70/PLTV/88888888/224/3221227044/86502115.smil
爱上4K,rtsp://115.153.245.70/PLTV/88888888/224/3221227025/86502164.smil
风尚购物,rtsp://115.153.245.70/PLTV/88888888/224/3221227049/90141188.smil
陶瓷,rtsp://115.153.245.70/PLTV/88888888/224/3221226253/10000100000000060000000001521367_0.smil



6#其它频道,#genre#
导视频道,rtsp://115.153.245.70/PLTV/88888888/224/3221225623/iptv8002.smil
中国环球,rtsp://115.153.245.70/PLTV/88888888/224/3221226694/55738457.smil
中国环球英语,rtsp://115.153.245.70/PLTV/88888888/224/3221226947/77798966.smil
中国环球纪录,rtsp://115.153.245.70/PLTV/88888888/224/3221226960/77798993.smil
中国环球法语,rtsp://115.153.245.70/PLTV/88888888/224/3221226968/77799060.smil
中国环球俄语,rtsp://115.153.245.70/PLTV/88888888/224/3221226966/77798997.smil
中国环球西班牙语,rtsp://115.153.245.70/PLTV/88888888/224/3221226949/77798970.smil
中国环球阿拉伯语,rtsp://115.153.245.70/PLTV/88888888/224/3221226951/77799001.smil
中国教育1,rtsp://115.153.245.70/PLTV/88888888/224/3221226858/63768493.smil
中国教育2,rtsp://115.153.245.70/PLTV/88888888/224/3221226978/85722625.smil
中国教育4,rtsp://115.153.245.70/PLTV/88888888/224/3221226905/65242632.smil
山东教育,rtsp://115.153.245.70/PLTV/88888888/224/3221226980/85722602.smil




7#备用频道,#genre#
CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8
CCTV2,http://112.27.235.94:8000/hls/2/index.m3u8
CCTV3,http://112.27.235.94:8000/hls/3/index.m3u8
CCTV4,http://112.27.235.94:8000/hls/4/index.m3u8
CCTV5,http://112.27.235.94:8000/hls/5/index.m3u8
CCTV5+,http://112.27.235.94:8000/hls/6/index.m3u8
CCTV6,http://112.27.235.94:8000/hls/7/index.m3u8
CCTV7,http://112.27.235.94:8000/hls/8/index.m3u8
CCTV8,http://112.27.235.94:8000/hls/9/index.m3u8
CCTV9,http://112.27.235.94:8000/hls/10/index.m3u8
CCTV10,http://112.27.235.94:8000/hls/11/index.m3u8
CCTV11,http://112.27.235.94:8000/hls/12/index.m3u8
CCTV12,http://112.27.235.94:8000/hls/13/index.m3u8
CCTV13,http://112.27.235.94:8000/hls/14/index.m3u8
CCTV14,http://112.27.235.94:8000/hls/15/index.m3u8
CCTV15,http://112.27.235.94:8000/hls/16/index.m3u8
CGTN,http://112.27.235.94:8000/hls/17/index.m3u8
安徽卫视,http://112.27.235.94:8000/hls/26/index.m3u8
北京卫视,http://112.27.235.94:8000/hls/27/index.m3u8
上海卫视,http://112.27.235.94:8000/hls/28/index.m3u8
浙江卫视,http://112.27.235.94:8000/hls/29/index.m3u8
广东卫视,http://112.27.235.94:8000/hls/30/index.m3u8
湖南卫视,http://112.27.235.94:8000/hls/31/index.m3u8
江苏卫视,http://112.27.235.94:8000/hls/32/index.m3u8
深圳卫视,http://112.27.235.94:8000/hls/33/index.m3u8
山东卫视,http://112.27.235.94:8000/hls/34/index.m3u8
四川卫视,http://112.27.235.94:8000/hls/35/index.m3u8
重庆卫视,http://112.27.235.94:8000/hls/36/index.m3u8
河南卫视,http://112.27.235.94:8000/hls/37/index.m3u8
东南卫视,http://112.27.235.94:8000/hls/38/index.m3u8
河北卫视,http://112.27.235.94:8000/hls/39/index.m3u8
云南卫视,http://112.27.235.94:8000/hls/40/index.m3u8
湖北卫视,http://112.27.235.94:8000/hls/41/index.m3u8
天津卫视,http://112.27.235.94:8000/hls/42/index.m3u8
陕西卫视,http://112.27.235.94:8000/hls/43/index.m3u8
江西卫视,http://112.27.235.94:8000/hls/44/index.m3u8
山西卫视,http://112.27.235.94:8000/hls/45/index.m3u8
贵州卫视,http://112.27.235.94:8000/hls/46/index.m3u8
辽宁卫视,http://112.27.235.94:8000/hls/47/index.m3u8
黑龙江卫视,http://112.27.235.94:8000/hls/48/index.m3u8
内蒙古卫视,http://112.27.235.94:8000/hls/49/index.m3u8
重温经典,http://112.27.235.94:8000/hls/50/index.m3u8

8#港澳台频道,#genre#

凤凰中文高清,http://cdn6.163189.xyz/163189/fhzw
凤凰资讯高清,http://cdn6.163189.xyz/163189/fhzx
凤凰香港高清,http://cdn6.163189.xyz/163189/fhhk
澳亚卫视,http://cdn9.163189.xyz/live/as/stream.m3u8
TVB无线新闻,http://cdn9.163189.xyz/smt1.1.php?id=inews_twn
TVB翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=jade_twn
华丽翡翠台,http://cdn9.163189.xyz/smt1.1.php?id=Tvbjade
TVB明珠台,http://cdn9.163189.xyz/smt1.1.php?id=pearl_twn
千禧经典,http://cdn9.163189.xyz/smt3.1.1.php?id=Tvbclassic




















